,会社名,求人名
0,株式会社ラストデータ | IT×教育で新しいビジネスモデルを構築/未経験歓迎/前職給与保証,エンジニアを育てる最高の研修を作る【カリキュラム作成・講師】
1,株式会社メディアコンピューターシステムズ | ＊在宅手当＊資格取得手当＊賞与年2回(6ヶ月分支給実績有)＊,【インフラエンジニア】キャリア採用/土日祝休み/残業月10h未満
2,データアナリティクスラボ株式会社 | Start up×IT×English◆住宅・資格手当あり◆年間休日120日以上,未経験からデータ分析を究める！【データアナリスト】
3,株式会社ユートピア | ★年休120日以上 ★20以上の資格手当 ★残業月平均20h以下,【ITエンジニア】ジョブチェンジ＆キャリアパスサポート企業
4,株式会社ふくおかフィナンシャルグループ | ―日本最大級の規模を誇る地域金融グループが進化を担う―,データを活用した新たな価値を創造【データサイエンティスト】
5,株式会社ベイカレント・コンサルティング | 東証プライム上場,【デジタルコンサルタント】※新規デジタル事業戦略の立案など
6,株式会社Cygames | 上場グループ★今話題の『ウマ娘 プリティーダービー』手掛ける,【総合職(エンジニア/プロモーション/事業企画等)】第二新卒歓迎
7,有限責任監査法人トーマツ,【データ分析コンサルタント】※業界未経験歓迎
8,富士通株式会社,【システムエンジニア】ITコンサル、PM、先端技術(AI、IoT等)
9,株式会社ディーファイブコンサルティング | 【KDDIグループ】◆年休126日以上◆完全週休2日（土日祝）,データサイエンスビジネスを加速させる【営業】★月給50万円以上
10,フロッグウェル株式会社 | 《メリハリある働き方》#土日祝休み ＃有休消化80％超で手当支給,企業課題を解決へ導く【データ分析】★将来はコンサルタントへ
11,スズキ株式会社 | 「人と同じ事はやらない。やるなら世界一を目指すのがスズキ」,【データサイエンティスト/データエンジニア】
12,株式会社わさび | 設立2年目の新進気鋭ITベンチャー企業/３年後に個で稼ぐ力を習得,3年で年収1000万円目指せる【総合職(ITコンサル／エンジニア)】
13,オリコン株式会社 | ★JASDAQ上場 ★オリコンランキングでお馴染み ★年間休日122日,オリコングループで活躍【データサイエンティスト】月給41万円～
14,株式会社ＪＶＣケンウッド | ≪プライム市場上場≫ 音響・映像分野でグローバルに事業を展開,【データサイエンティスト】テレワーク可／土日祝休／年休126日
15,株式会社キーエンス | 【東証一部上場】,【データサイエンティスト】
16,株式会社キーエンス | 【東証一部上場】,【サポートエンジニア】
